Location	Latitude	Longitude
New Brunswick city	40.49	-74.44
New Egypt	40.06	-74.53
New Milford borough	40.93	-74.02
New Providence borough	40.7	-74.4
New Village	40.72	-75.08
Newark city	40.72	-74.17
Newfield borough	39.55	-75.02
Newton town	41.05	-74.75
North Arlington borough	40.79	-74.13
North Beach Haven	39.6	-74.21
North Caldwell borough	40.86	-74.26
North Cape May	38.98	-74.95
North Haledon borough	40.96	-74.18
North Middletown	40.44	-74.12
North Plainfield borough	40.62	-74.44
North Wildwood city	39	-74.8
Northfield city	39.37	-74.56
Northvale borough	41.01	-73.95
Norwood borough	40.99	-73.95
Oak Valley	39.81	-75.16
Oakhurst	40.26	-74.03
Oakland borough	41.03	-74.24
Oaklyn borough	39.9	-75.08
Ocean Acres	39.74	-74.28
Ocean City city	39.27	-74.6
Ocean Gate borough	39.93	-74.14
Ocean Grove	40.21	-74.01
Oceanport borough	40.32	-74.02
Ogdensburg borough	41.08	-74.6
Old Bridge	40.39	-74.33
Old Tappan borough	41.02	-73.99
Olivet	39.54	-75.17
Oradell borough	40.96	-74.03
Oxford	40.81	-75
Palisades Park borough	40.85	-74
Palmyra borough	40	-75.04
Panther Valley	40.91	-74.84
Paramus borough	40.95	-74.07
Park Ridge borough	41.04	-74.04
Passaic city	40.86	-74.13
Paterson city	40.91	-74.16
Paulsboro borough	39.84	-75.24
Peapack and Gladstone borough	40.72	-74.66
Pedricktown	39.76	-75.41
Pemberton borough	39.97	-74.69
Pemberton Heights	39.96	-74.68
Pennington borough	40.33	-74.79
Penns Grove borough	39.73	-75.47
Pennsville	39.65	-75.51
Perth Amboy city	40.52	-74.27
Phillipsburg town	40.69	-75.18
Pine Beach borough	39.94	-74.17
Pine Hill borough	39.79	-74.99
Pine Lake Park	40	-74.26
Pine Ridge at Crestwood	39.96	-74.32
Pine Valley borough	39.79	-74.97
Pitman borough	39.73	-75.13
Plainfield city	40.62	-74.42
Plainsboro Center	40.33	-74.59
Pleasant Plains	40.45	-74.57
Pleasantville city	39.39	-74.52
Point Pleasant Beach borough	40.09	-74.05
Point Pleasant borough	40.08	-74.07
Pomona	39.47	-74.55
Pompton Lakes borough	41	-74.29
Port Colden	40.77	-74.95
Port Monmouth	40.43	-74.1
Port Murray	40.79	-74.91
Port Norris	39.25	-75.04
Port Reading	40.56	-74.25
Port Republic city	39.53	-74.49
Presidential Lakes Estates	39.91	-74.56
Princeton borough	40.35	-74.66
Princeton Junction	40.32	-74.62
Princeton Meadows	40.33	-74.56
Prospect Park borough	40.94	-74.17
Quinton	39.55	-75.41
Rahway city	40.61	-74.28
Ramblewood	39.93	-74.95
Ramsey borough	41.06	-74.15
Ramtown	40.11	-74.15
Raritan borough	40.57	-74.64
Red Bank borough	40.35	-74.07
Richwood	39.71	-75.17
Ridgefield borough	40.83	-74.01
Ridgefield Park village	40.85	-74.02
Ridgewood village	40.98	-74.11
Ringwood borough	41.11	-74.28
Rio Grande	39.02	-74.88
River Edge borough	40.93	-74.04
Riverdale borough	40.99	-74.31
Riverton borough	40.01	-75.01
Robbinsville	40.22	-74.63
Robertsville	40.34	-74.29
Rockaway borough	40.9	-74.52
Rockleigh borough	41	-73.93
Rocky Hill borough	40.4	-74.64
Roebling	40.12	-74.78
Roosevelt borough	40.22	-74.47
Roseland borough	40.82	-74.31
Roselle borough	40.65	-74.26
Roselle Park borough	40.67	-74.27
Rosenhayn	39.48	-75.14
Ross Corner	41.13	-74.71
Rossmoor	40.34	-74.47
Rumson borough	40.36	-74
Runnemede borough	39.85	-75.07
Rutherford borough	40.82	-74.11
Saddle River borough	41.03	-74.1
Salem city	39.57	-75.47
Sayreville borough	40.47	-74.32
Sea Bright borough	40.36	-73.98
Sea Girt borough	40.13	-74.03
Sea Isle City city	39.15	-74.7
Seabrook Farms	39.5	-75.22
Seaside Heights borough	39.95	-74.08
Seaside Park borough	39.93	-74.08
Secaucus town	40.78	-74.07
Sewaren	40.55	-74.26
Shark River Hills	40.19	-74.05
Shiloh borough	39.46	-75.3
Ship Bottom borough	39.65	-74.18
Short Hills	40.74	-74.33
Shrewsbury borough	40.32	-74.06
Silver Lake	40.78	-74.18
Silver Lake	40.93	-74.95
Silver Ridge	39.96	-74.24
Singac	40.88	-74.24
Six Mile Run	40.47	-74.53
Skillman	40.42	-74.71
Smithville	39.49	-74.48
Society Hill	40.53	-74.46
Somerdale borough	39.85	-75.02
Somers Point city	39.32	-74.61
Somerset	40.51	-74.5
Somerville borough	40.57	-74.61
South Amboy city	40.49	-74.28
South Bound Brook borough	40.55	-74.53
South Plainfield borough	40.57	-74.42
South River borough	40.45	-74.38
South Toms River borough	39.94	-74.21
Spotswood borough	40.4	-74.39
Spring Lake borough	40.15	-74.03
Spring Lake Heights borough	40.15	-74.04
Springdale	39.88	-74.97
Stanhope borough	40.91	-74.7
Stewartsville	40.69	-75.11
Stockton borough	40.41	-74.98
Stone Harbor borough	39.04	-74.77
Stratford borough	39.83	-75.02
Strathmere	39.2	-74.66
Strathmore	40.4	-74.22
Succasunna	40.85	-74.66
Summit city	40.72	-74.36
Surf City borough	39.66	-74.17
Sussex borough	41.21	-74.61
Swedesboro borough	39.75	-75.31
Tavistock borough	39.88	-75.03
Ten Mile Run	40.42	-74.59
Tenafly borough	40.92	-73.95
Teterboro borough	40.86	-74.06
Tinton Falls borough	40.27	-74.09
Toms River	39.99	-74.19
Totowa borough	40.9	-74.22
Trenton city	40.22	-74.76
Tuckerton borough	39.6	-74.33
Turnersville	39.77	-75.06
Twin Rivers	40.26	-74.49
Union Beach borough	40.45	-74.17
Union City city	40.77	-74.03
Upper Montclair	40.84	-74.2
Upper Pohatcong	40.68	-75.16
Upper Saddle River borough	41.06	-74.1
Upper Stewartsville	40.7	-75.12
Ventnor City city	39.34	-74.48
Vernon Center	41.19	-74.5
Vernon Valley	41.24	-74.48
Victory Gardens borough	40.88	-74.54
Victory Lakes	39.63	-74.97
Vienna	40.87	-74.88
Villas	39.02	-74.93
Vineland city	39.47	-75
Vista Center	40.16	-74.32
Voorhees	40.48	-74.49
Waldwick borough	41.01	-74.13
Wallington borough	40.85	-74.11
Wanamassa	40.24	-74.03
Wanaque borough	41.04	-74.29
Waretown	39.79	-74.19
Washington borough	40.76	-74.98
Watchung borough	40.64	-74.44
Wenonah borough	39.79	-75.15
West Belmar	40.17	-74.04
West Cape May borough	38.94	-74.94
West Freehold	40.23	-74.29
West Long Branch borough	40.29	-74.02
West New York town	40.79	-74.01
West Wildwood borough	39	-74.82
Westfield town	40.65	-74.34
Weston	40.52	-74.58
Westville borough	39.87	-75.13
Westwood borough	40.99	-74.03
Wharton borough	40.9	-74.58
White Horse	40.19	-74.7
White House Station	40.62	-74.77
White Meadow Lake	40.92	-74.51
Whitesboro	39.04	-74.87
Whittingham	40.33	-74.45
Wildwood city	38.99	-74.82
Wildwood Crest borough	38.97	-74.84
Williamstown	39.69	-74.98
Wood-Ridge borough	40.85	-74.09
Woodbine borough	39.23	-74.81
Woodbridge	40.56	-74.28
Woodbury city	39.84	-75.15
Woodbury Heights borough	39.82	-75.15
Woodcliff Lake borough	41.03	-74.06
Woodland Park borough	40.89	-74.19
Woodlynne borough	39.92	-75.1
Woodstown borough	39.65	-75.33
Wrightstown borough	40.03	-74.63
Yardville	40.18	-74.66
Yorketown	40.31	-74.34
Zarephath	40.54	-74.57
